"Country","Source","Occupation","Year","Value"
"Brunei Darussalam","LFS - Labour Force Survey","Skill level 1 ~ low","2014","40.2"
"Bhutan","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2022","-6.9"
"Bhutan","LFS - Labour Force Survey","Skill level 2 ~ medium","2022","8.9"
"Bhutan","LFS - Labour Force Survey","Skill level 1 ~ low","2022","27.9"
"Bhutan","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2021","-4.1"
"Bhutan","LFS - Labour Force Survey","Skill level 2 ~ medium","2021","10.1"
"Bhutan","LFS - Labour Force Survey","Skill level 1 ~ low","2021","19.7"
"Bhutan","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","-3.7"
"Bhutan","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","15.3"
"Bhutan","LFS - Labour Force Survey","Skill level 1 ~ low","2020","21"
"Bhutan","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","-1.6"
"Bhutan","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","18.2"
"Bhutan","LFS - Labour Force Survey","Skill level 1 ~ low","2019","20.8"
"Bhutan","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","12.6"
"Bhutan","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","12.5"
"Bhutan","LFS - Labour Force Survey","Skill level 1 ~ low","2018","27.1"
"Botswana","HS - Multi-Topic Household Survey","Skill levels 3 and 4 ~ high","2022","12.5"
"Botswana","HS - Multi-Topic Household Survey","Skill level 2 ~ medium","2022","29.3"
"Botswana","HS - Multi-Topic Household Survey","Skill level 1 ~ low","2022","12.2"
"Botswana","HS - Multi-Topic Household Survey","Skill levels 3 and 4 ~ high","2021","7.5"
"Botswana","HS - Multi-Topic Household Survey","Skill level 2 ~ medium","2021","27.7"
"Botswana","HS - Multi-Topic Household Survey","Skill level 1 ~ low","2021","0.2"
"Botswana","HS - Multi-Topic Household Survey","Skill levels 3 and 4 ~ high","2020","13.6"
"Botswana","HS - Multi-Topic Household Survey","Skill level 2 ~ medium","2020","25"
"Botswana","HS - Multi-Topic Household Survey","Skill level 1 ~ low","2020","-6.8"
"Botswana","HS - Multi-Topic Household Survey","Skill levels 3 and 4 ~ high","2019","21.2"
"Botswana","HS - Multi-Topic Household Survey","Skill level 2 ~ medium","2019","30.3"
"Botswana","HS - Multi-Topic Household Survey","Skill level 1 ~ low","2019","-15.1"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2022","11.2"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2022","8.9"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2022","3.3"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2021","17.1"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2021","9.3"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2021","10.1"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","12.4"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","4.5"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2020","2.2"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","13.6"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","7.6"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2019","11.2"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2018","18.6"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2018","10.7"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2018","8.9"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","14.7"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","5.8"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2017","7.3"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2016","16.3"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2016","4.7"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2016","14.4"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2015","18.4"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2015","10.8"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2015","7.5"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2014","11.9"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2014","11.7"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2014","2.1"
"Switzerland","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2013","20.1"
"Switzerland","LFS - Labour Force Survey","Skill level 2 ~ medium","2013","8"
"Switzerland","LFS - Labour Force Survey","Skill level 1 ~ low","2013","7.6"
"Chile","HS - National Survey on Socio-Economic Conditions","Skill levels 3 and 4 ~ high","2013","28.4"
"Chile","HS - National Survey on Socio-Economic Conditions","Skill level 2 ~ medium","2013","10.3"
"Chile","HS - National Survey on Socio-Economic Conditions","Skill level 1 ~ low","2013","3.6"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2022","30.3"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2022","14.2"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2022","-0.3"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2021","23.7"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2021","14.5"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2021","-1.9"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2020","31"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2020","7.6"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2020","-9.9"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2018","27.9"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2018","15.2"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2018","1.7"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2017","27.3"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2017","13.7"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2017","6.3"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2016","24.1"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2016","17.3"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2016","4"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2015","26.1"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2015","19"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2015","6.8"
"Chile","HIES - Supplemental Income Survey","Skill levels 3 and 4 ~ high","2014","24.9"
"Chile","HIES - Supplemental Income Survey","Skill level 2 ~ medium","2014","18.9"
"Chile","HIES - Supplemental Income Survey","Skill level 1 ~ low","2014","5.3"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Skill levels 3 and 4 ~ high","2019","32.8"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Skill level 2 ~ medium","2019","12"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Skill level 1 ~ low","2019","55.1"
"Côte d'Ivoire","LFS - Regional Integrated Survey on Employment and the Informal Sector","Skill levels 3 and 4 ~ high","2017","21.5"
"Côte d'Ivoire","LFS - Regional Integrated Survey on Employment and the Informal Sector","Skill level 2 ~ medium","2017","19.7"
"Côte d'Ivoire","LFS - Regional Integrated Survey on Employment and the Informal Sector","Skill level 1 ~ low","2017","-6.7"
"Cook Islands","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","-7.5"
"Cook Islands","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","8.8"
"Cook Islands","LFS - Labour Force Survey","Skill level 1 ~ low","2019","9.3"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2022","6.3"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2022","4.5"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2022","0.9"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2021","-5.4"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2021","-5.4"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2021","-1.3"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2019","-3.4"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2019","-3.6"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2019","0.5"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2018","-6"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2018","-1.4"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2018","0.3"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2017","-5.3"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2017","-2.6"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2017","1.4"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2016","-4.3"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2016","-0.3"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2016","3.5"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2015","-5.6"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2015","-2.8"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2015","1.7"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2014","-3"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2014","-2.1"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2014","0.7"
"Colombia","LFS - Integrated Household Survey","Skill levels 3 and 4 ~ high","2013","-3.3"
"Colombia","LFS - Integrated Household Survey","Skill level 2 ~ medium","2013","-4.7"
"Colombia","LFS - Integrated Household Survey","Skill level 1 ~ low","2013","-0.1"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Skill levels 3 and 4 ~ high","2021","-110.2"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Skill level 2 ~ medium","2021","23"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Skill level 1 ~ low","2021","69.6"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Skill levels 3 and 4 ~ high","2014","2.8"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Skill level 2 ~ medium","2014","-19.1"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Skill level 1 ~ low","2014","29"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2020","5.3"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2020","-2.6"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2020","-24.2"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2018","4.4"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2018","4.5"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2018","-13"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2017","-0.9"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2017","0.9"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2017","-15.2"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2016","6.5"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2016","-15.8"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2016","-14.8"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2015","2.1"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2015","1.7"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2015","-14.8"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2014","19.8"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2014","5.8"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2014","-10.6"
"Costa Rica","HS - National Household Survey","Skill levels 3 and 4 ~ high","2013","-4.5"
"Costa Rica","HS - National Household Survey","Skill level 2 ~ medium","2013","8.6"
"Costa Rica","HS - National Household Survey","Skill level 1 ~ low","2013","-24"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2022","7.3"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2022","16.7"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2022","-3.2"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2021","8.1"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2021","16.1"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2021","-10.8"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2020","15.2"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2020","16.4"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2020","-12.1"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2019","13.2"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2019","15"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2019","2.6"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2018","9"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2018","14.2"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2018","4.6"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2017","2.9"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2017","13.1"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2017","4.4"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2016","3.3"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2016","15.1"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2016","11"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill levels 3 and 4 ~ high","2015","-4"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 2 ~ medium","2015","7.2"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Skill level 1 ~ low","2015","0"
"Ecuador","HIES - Households Living Conditions Survey","Skill levels 3 and 4 ~ high","2014","23"
"Ecuador","HIES - Households Living Conditions Survey","Skill level 2 ~ medium","2014","14.3"
"Ecuador","HIES - Households Living Conditions Survey","Skill level 1 ~ low","2014","-2.8"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2021","-1.9"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2021","12.7"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2021","13.7"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2020","7.1"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2020","9.5"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2020","27"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2019","12"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2019","28"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2019","17.9"
"Egypt","LFS - Labour Force Sample Survey","Skill levels 3 and 4 ~ high","2018","14.8"
"Egypt","LFS - Labour Force Sample Survey","Skill level 2 ~ medium","2018","21"
"Egypt","LFS - Labour Force Sample Survey","Skill level 1 ~ low","2018","25"
